"","Alpha.3.code","exposure_scaled","sensitivity_scaled","adaptive_capacity_scaled","adaptive_capacity_inverse_scaled","index_mean_scaled","crit_1_1","crit_1_1_A","crit_1_1_B","crit_1_2","crit_2_1","crit_2_1_A","crit_2_1_B","crit_2_1_C","crit_2_1_D","crit_2_2","crit_2_2_A","crit_2_2_B","crit_2_2_C","crit_3_1","crit_3_2","crit_3_2_A","crit_3_2_B","crit_3_2_C","crit_3_2_D","crit_3_2_E","crit_3_2_F","crit_3_1_inverse","crit_3_2_inverse","crit_3_2_A_inverse","crit_3_2_B_inverse","crit_3_2_C_inverse","crit_3_2_D_inverse","crit_3_2_E_inverse","crit_3_2_F_inverse","cfa_vulnerability_score","cfa_mean_vulnerability","SIFI_Index","Continent","country","has_PAA"
"90","OMN",0.527399395523024,0.59650737865983,0.580083692664119,0.281801818508404,0.574930445245399,0.529641602967461,0.385463804481143,0.678211834555447,0.534222289293545,0.311310392271301,0.00302628677413652,0.00821073034919413,0.800480797588471,0.418690178657741,0.571284435173945,0.491651834448615,0.566170562653947,0.310450482622666,0.768466522678186,0.555783465081168,0.509946455028829,0.56313887785702,0.740044134475582,0.583350096812111,0.639349577105618,0.298871649207847,0.231533477321814,0.444216534918832,0.490053544971171,0.43686112214298,0.259955865524418,0.416649903187889,0.360650422894382,0.701128350792153,-0.0328829583125584,-0.0328829583125584,0.249951396697748,"Asia","Oman","No PAA"
"91","PAK",0.641875496784854,0.803710940423201,0.25129770914484,0.742392004265962,0.911557171138556,0.470017693886612,0.270665303570878,0.674319314064845,0.754462225115178,0.435687617965617,0.0490627400611421,0.060830687140601,0.776024877012281,0.815246825312236,0.753486471334613,0.517655581028555,0.447335256488025,0.75775893443677,0.269546436285097,0.316297042915116,0.251550760557904,0.387867994137004,0.148746133680311,0.37360647585235,0.379849009133844,0.356161884129282,0.730453563714903,0.683702957084884,0.748449239442096,0.612132005862996,0.851253866319689,0.62639352414765,0.620150990866156,0.643838115870718,0.0613766004617115,0.0613766004617115,0.808273257808052,"Asia","Pakistan","Has PAA"
"92","PAN",0.537913777223456,0.707303904281757,0.56652795716794,0.301542312603234,0.640999678868497,0.559775968599837,0.468779886517071,0.654883074573897,0.518840157478924,0.304917017761721,0.00251446230489686,0.00791727091116411,0.805739456353679,0.390038429397209,0.741612815202682,0.45333724806936,0.554202015653283,0.692110125744746,0.73304535637149,0.553433853869944,0.307303025658471,0.519123635433742,0.663666500395106,0.603479939972316,0.519829478476253,0.707200543283776,0.26695464362851,0.446566146130056,0.692696974341529,0.480876364566258,0.336333499604894,0.396520060027684,0.480170521523747,0.292799456716224,-0.026484398412017,-0.026484398412017,0.287851593967409,"Americas","Panama","No PAA"
"93","PER",0.758630054750729,0.617368464158434,0.501221874440206,0.367805515241717,0.729025332432337,0.66171398835366,0.619125757839816,0.70746129646612,0.726578752692656,0.244115266726657,0.0888116764496172,0.0265275709823175,0.77871858812276,0.0820223683943696,0.669345710601473,0.569968620300483,0.508048026485457,0.481035967864006,0.663498920086393,0.50062579565272,0.31401248344243,0.470846654359872,0.555110017473691,0.629103889691109,0.415410632988065,0.619271095961157,0.336501079913607,0.49937420434728,0.68598751655757,0.529153345640128,0.444889982526309,0.370896110308891,0.584589367011935,0.380728904038843,-0.0133076535903451,-0.0133076535903451,0.365900598098963,"Americas","Peru","Has PAA"
"94","PHL",0.646697588922592,0.879948976359833,0.439702319697109,0.45334063934808,0.828624370049754,0.632212529737192,0.420835705093552,0.84702393079948,0.599033039659784,0.562912002189161,0.0743488659442715,0.354512883159883,0.912680785878071,0.841155981641556,0.73906420587686,0.432025469274402,0.499670611920865,0.762994949230928,0.558099352051836,0.457715462014799,0.312838606210818,0.533856197644761,0.380566665621146,0.525313504888512,0.424400140390855,0.569317657332704,0.441900647948164,0.542284537985201,0.687161393789182,0.466143802355239,0.619433334378854,0.474686495111488,0.575599859609145,0.430682342667296,0.00664376549356537,0.00664376549356537,0.484077614621994,"Asia","Philippines","Has PAA"
"95","PNG",0.502737006090821,0.65735477058804,0.343781320737577,0.672788967820104,0.76730835895661,0.539720278218488,0.506999790770622,0.576739079247519,0.489540976838145,0.388797586641595,0.00485701209019628,0.0278747725608646,0.882489383782458,0.608469212502941,0.583827297933921,0.501647896511391,0.364073743329591,0.526953574262547,0.279049676025918,0.401104578349552,0.23029832910282,0.378575751626349,0.472608780554929,0.395818455150754,0.358678930265472,0.570647223396987,0.720950323974082,0.598895421650448,0.76970167089718,0.621424248373651,0.527391219445071,0.604181544849246,0.641321069734528,0.429352776603013,0.0612962221616261,0.0612962221616261,0.807797157954837,"Oceania","Papua New Guinea","Has PAA"
"96","POL",0.550028413030776,0.342444856657587,0.711058450465327,0.178939956642223,0.406726700364344,0.550737898033323,0.602248791553175,0.503422430257867,0.544875703040964,0.129399823782333,0.00101323442709476,0.00170845692635298,0.539170395824598,0,0.377283027065641,0.356969716830827,0.351777971865769,0.282092437349249,0.852267818574514,0.67912776005106,0.608472965210099,0.664844603037504,0.717869889299565,0.709030369182566,0.630918212292592,0.743630521284037,0.147732181425486,0.32087223994894,0.391527034789901,0.335155396962496,0.282130110700435,0.290969630817434,0.369081787707408,0.256369478715963,-0.0476213414474882,-0.0476213414474882,0.162652436160953,"Europe","Poland","No PAA"
"97","PRT",0.546984877094389,0.354548424928036,0.807122866505139,0.1478677729526,0.395016712042574,0.639171715758945,0.7076281544571,0.574084865250812,0.45217164337002,0.148498518419804,0.00129145865852753,0.00234702982890895,0.610540520525996,0,0.376092822970449,0.306403182814518,0.421213819183796,0.260907563488103,0.822462203023758,0.775065413773217,0.660412584127411,0.78154442228101,0.838277197288795,0.710811136282578,0.793526239246907,0.865820903412603,0.177537796976242,0.224934586226783,0.339587415872589,0.21845557771899,0.161722802711205,0.289188863717422,0.206473760753093,0.134179096587397,-0.0409340579689495,-0.0409340579689495,0.202262812085278,"Europe","Portugal","No PAA"
"98","QAT",0.556530614254407,0.71533931060992,0.634617919718534,0.237804696983044,0.623886817876685,0.516201714015267,0.480470437429547,0.5564509318545,0.58853481939247,0.234443419902769,0.00137913785386406,0.000707014487663081,0.622113687518624,0.315273253046333,0.823975634076118,0.462517050082168,0.787271696731001,0.610098786445646,0.807775377969763,0.602917394078842,0.629276027628557,0.658133390644458,0.744856471892855,0.62843469835737,0.700881433811162,0.255922342138651,0.192224622030237,0.397082605921158,0.370723972371443,0.341866609355542,0.255143528107145,0.37156530164263,0.299118566188838,0.744077657861349,-0.0411170348305097,-0.0411170348305097,0.201178996467904,"Asia","Qatar","No PAA"
"99","RUS",0.582369425158764,0.530951959047624,0.398122349900711,0.372131723459873,0.612612022238994,0.693333503893776,0.719564312845205,0.669966494285928,0.447656248285553,0.188693151519996,0.0140968934438092,0.0507213484800157,0.70149400741144,0,0.59690560122333,0.467496360383964,0.681056423681856,0.269566472285177,0.774946004319654,0.381421989290895,0.237998287856868,0.510271929462881,0.505649374761596,0.39645116751385,0.347397102009829,0.290764074140343,0.225053995680346,0.618578010709105,0.762001712143132,0.489728070537119,0.494350625238404,0.60354883248615,0.652602897990171,0.709235925859657,-0.034788663633484,-0.034788663633484,0.238663449296519,"Europe","Russia","No PAA"
