"","Alpha.3.code","exposure_scaled","sensitivity_scaled","adaptive_capacity_scaled","adaptive_capacity_inverse_scaled","index_mean_scaled","crit_1_1","crit_1_1_A","crit_1_1_B","crit_1_2","crit_2_1","crit_2_1_A","crit_2_1_B","crit_2_1_C","crit_2_1_D","crit_2_2","crit_2_2_A","crit_2_2_B","crit_2_2_C","crit_3_1","crit_3_2","crit_3_2_A","crit_3_2_B","crit_3_2_C","crit_3_2_D","crit_3_2_E","crit_3_2_F","crit_3_1_inverse","crit_3_2_inverse","crit_3_2_A_inverse","crit_3_2_B_inverse","crit_3_2_C_inverse","crit_3_2_D_inverse","crit_3_2_E_inverse","crit_3_2_F_inverse","cfa_vulnerability_score","cfa_mean_vulnerability","SIFI_Index","Continent","country","has_PAA"
"83","MUS",0.254928472303615,0.578531908317382,0.721232375263968,0.221712405036448,0.511449639929275,0.00398201217987103,0.0133582769738473,0.000989120970199427,0.405220467562937,0.20894262017966,0.000906035321950395,0.00192711694716781,0.737314652984937,0.355647791195818,0.682063512213546,0.639818013118544,0.565527064365526,0.546015342467285,0.691489361702128,0.726098970584213,0.500333624730405,0.755284834246769,0.852850519962905,0.772309717617705,0.724465638985441,0.751349487962056,0.308510638297872,0.273901029415787,0.499666375269595,0.244715165753231,0.147149480037095,0.227690282382295,0.275534361014559,0.248650512037944,-0.0381971396138352,-0.0381971396138352,0.411774195245381,"Africa","Mauritius","No PAA"
"84","MYS",0.371390500893784,0.599529776845186,0.653299842664227,0.251725732911941,0.594017073836583,0.111051522612015,0.0226631746715814,0.139264965320915,0.471261713345193,0.298455917633979,0.0137306913419201,0.0170754377984182,0.736582875962385,0.637585507108472,0.622763713409708,0.562307199925295,0.416540907343585,0.642575226744209,0.693423597678917,0.65751703505493,0.51196380381502,0.803515356387419,0.713006555049342,0.693111489428182,0.688147141908247,0.535357863741369,0.306576402321083,0.34248296494507,0.48803619618498,0.196484643612581,0.286993444950658,0.306888510571818,0.311852858091753,0.464642136258631,-0.0305686339651843,-0.0305686339651843,0.437129830106309,"Asia","Malaysia","No PAA"
"85","NAM",0.0568916467042416,0.700050824786323,0.571055040444456,0.436621588317534,0.579991615569621,0.00781307500095372,0.0131935093131257,0.00609564754866373,0.107024751705913,0.16639227868246,0.0000209136385539062,0.00595569213007281,0.518515458761436,0.424334658875087,0.899465487526847,0.687015516292448,0.744080136748265,0.796633653808196,0.362669245647969,0.616347435486487,0.518778823327608,0.568997062306833,0.804641549761024,0.524253493880683,0.600244246794972,0.681169436847801,0.637330754352031,0.383652564513513,0.481221176672392,0.431002937693167,0.195358450238976,0.475746506119317,0.399755753205028,0.318830563152199,0.0320145936234944,0.0320145936234944,0.645144025840381,"Africa","Namibia","No PAA"
"86","NGA",0.587083322682304,0.697728259002704,0.223264449472928,0.774510767982844,0.951125364809784,0.171193564566999,0.197825232304659,0.162692771764929,0.731728439259297,0.369543682090962,0.0629621573715884,0.13821325361847,0.826864966943761,0.62247126187479,0.692972181197288,0.597738868916156,0.413515994995997,0.764008515034079,0.152321083172147,0.292353161991641,0.155555415670973,0.295720920843486,0.1782130107144,0.333556257050367,0.338664781089773,0.452408586580845,0.847678916827853,0.707646838008359,0.844444584329027,0.704279079156514,0.8217869892856,0.666443742949633,0.661335218910227,0.547591413419155,0.106080244348943,0.106080244348943,0.891323511315846,"Africa","Nigeria","Has PAA"
"87","NIC",0.257445927894419,0.544261214856084,0.291414630873089,0.582064244627081,0.669500776372381,0.0121605162838136,0.000042962302261034,0.0160284233439266,0.400783943968314,0.233894974878509,0.00270482156477291,0.00803487342338169,0.764969534443823,0.40627179634385,0.60779960242648,0.575458523712841,0.149922256181668,0.863253353918264,0.404255319148936,0.32403404731985,0.150711037706676,0.349000005567022,0.484409365538301,0.378622205986753,0.301771526906062,0.279690142214286,0.595744680851064,0.67596595268015,0.849288962293324,0.650999994432978,0.515590634461699,0.621377794013247,0.698228473093938,0.720309857785714,0.0485704166196013,0.0485704166196013,0.700172287212344,"Americas","Nicaragua","Has PAA"
"88","NLD",0.351266218394116,0.166964521747099,0.972523017150365,0.0210630086298578,0.225299582632189,0.163811098668732,0.551578011815743,0.0400364174646814,0.388589127838426,0.0470341722425358,0.00153581871520685,0.00160135702093355,0.533426666221114,0,0.251774201494473,0.376416979825123,0.236308944975699,0.195789152113674,0.959381044487428,0.955004619505284,0.95654747713346,0.991128345749809,0.851850383078439,1,0.965320347107849,0.965181163962148,0.040618955512572,0.044995380494716,0.04345252286654,0.00887165425019099,0.148149616921561,0,0.034679652892151,0.034818836037852,-0.152373625356811,-0.152373625356811,0.0322742754000141,"Europe","Netherlands","No PAA"
"89","NOR",0.327923599163965,0.42224435198967,0.994286625792197,0,0.348726915291253,0.0416933229858012,0.113044537019634,0.0189181106839424,0.476010114225542,0.107011974870126,0.0253525094760199,0.00481085100180056,0.713563802611787,0,0.559114481476836,0.77671825801724,0.486819133939769,0.218418424688534,1,0.972126006192718,0.977761236425841,1,0.914683125666542,0.940311675063927,1,1,0,0.027873993807282,0.022238763574159,0,0.085316874333458,0.059688324936073,0,0,-0.128132639910994,-0.128132639910994,0.112846487566091,"Europe","Norway","No PAA"
"90","NZL",0.0739624616289316,0.426706252712228,1,0.0120041479727683,0.20899404264276,0.0104606219190131,0.0104764609192754,0.0104555661312663,0.129751498165555,0.181079906330206,0.00075466615289359,0.000680576733896757,0.569242985843686,0.428879558330927,0.491466707914261,0.444710404681752,0.537129382600931,0.351886950272566,0.957446808510638,0.981633282416585,1,0.947508309990166,1,0.990943824509892,0.979244482143591,0.972103077855862,0.042553191489362,0.018366717583415,0,0.052491690009834,0,0.00905617549010795,0.0207555178564089,0.027896922144138,-0.125122586925549,-0.125122586925549,0.122851304751289,"Oceania","New Zealand","No PAA"
"91","OMN",0.263958510069188,0.525643778579106,0.580083692664119,0.268623504772927,0.512994945455983,0.0366896971207036,0.00147351174944491,0.0479306564954343,0.385935154576003,0.230627305484644,0.00302776119613114,0.00815981801352307,0.789545683743035,0.369961233234869,0.584278939229107,0.660474862490709,0.566170562653947,0.310450482622666,0.740812379110251,0.57341669763793,0.494156400231124,0.588393582627794,0.804820621930828,0.607539085743956,0.651328953014611,0.294261542279266,0.259187620889749,0.42658330236207,0.505843599768876,0.411606417372206,0.195179378069172,0.392460914256044,0.348671046985389,0.705738457720734,-0.0365848949088354,-0.0365848949088354,0.417132975841377,"Asia","Oman","No PAA"
"92","PAK",0.53502419421562,0.742067296572997,0.25129770914484,0.734787798296538,0.932936373003187,0.0805280578131766,0.000741238308858722,0.105995904123953,0.745012543629656,0.376186896095991,0.0491657404390924,0.0607824759885232,0.763749399570442,0.799759683971195,0.750127702288624,0.695407755532571,0.447335256488025,0.75775893443677,0.182301740812379,0.316824705605385,0.222216417012029,0.389814891686331,0.161765968057064,0.388256310581467,0.386966170436543,0.351928475858876,0.817698259187621,0.683175294394615,0.777783582987971,0.610185108313669,0.838234031942936,0.611743689418533,0.613033829563457,0.648071524141124,0.10858567629194,0.10858567629194,0.899651068565119,"Asia","Pakistan","Has PAA"
