eez,dist_km,area_km2,ais_fishing,dark_fishing,ISO_TER1,GEONAME,SOVEREIGN1,fishing_per_km2
8362,20,27405.06827,0.282051282,0.240128628,CPV,Cape Verdean Exclusive Economic Zone,Cape Verde,1.91E-05
8362,25,35261.504,0.333333333,0.308209064,CPV,Cape Verdean Exclusive Economic Zone,Cape Verde,1.82E-05
8407,5,1348.401441,0,0.131997302,CYM,Cayman Islands Exclusive Economic Zone,United Kingdom,9.79E-05
8407,10,2760.537558,0,0.19013933,CYM,Cayman Islands Exclusive Economic Zone,United Kingdom,6.89E-05
8407,15,4432.821855,0,0.254889598,CYM,Cayman Islands Exclusive Economic Zone,United Kingdom,5.75E-05
8407,20,6459.262751,0.015503876,0.345502794,CYM,Cayman Islands Exclusive Economic Zone,United Kingdom,5.59E-05
8407,25,8738.838605,0.022646733,0.446254353,CYM,Cayman Islands Exclusive Economic Zone,United Kingdom,5.37E-05
8465,5,145564.018,6.043022904,58.16926773,CHL,Chilean Exclusive Economic Zone,Chile,0.000441127
8465,10,189138.776,8.256398014,81.62604964,CHL,Chilean Exclusive Economic Zone,Chile,0.00047522
8465,15,226324.6334,10.10279139,96.74260125,CHL,Chilean Exclusive Economic Zone,Chile,0.000472089
8465,20,258818.839,11.39026867,106.4305217,CHL,Chilean Exclusive Economic Zone,Chile,0.000455225
8465,25,288967.1753,12.80301463,111.2879341,CHL,Chilean Exclusive Economic Zone,Chile,0.000429429
8486,5,97805.30155,316.8265402,349.6108002,CHN,Chinese Exclusive Economic Zone,China,0.006813918
8486,10,146933.8053,618.8554409,698.1747723,CHN,Chinese Exclusive Economic Zone,China,0.008963425
8486,15,188784.8804,888.0755812,1024.679528,CHN,Chinese Exclusive Economic Zone,China,0.01013193
8486,20,226479.5448,1131.129393,1313.460369,CHN,Chinese Exclusive Economic Zone,China,0.010793866
8486,25,261453.4889,1339.24932,1579.415566,CHN,Chinese Exclusive Economic Zone,China,0.011163228
8426,5,19051.96753,0.150436096,6.199302384,COL,Colombian Exclusive Economic Zone,Colombia,0.000333285
8426,10,31427.84829,0.251780291,12.29418569,COL,Colombian Exclusive Economic Zone,Colombia,0.000399199
8426,15,43731.63782,0.297110688,16.47819308,COL,Colombian Exclusive Economic Zone,Colombia,0.000383597
8426,20,55690.98766,0.327527261,18.62046602,COL,Colombian Exclusive Economic Zone,Colombia,0.000340234
8426,25,67541.06061,0.346427772,19.87863888,COL,Colombian Exclusive Economic Zone,Colombia,0.000299448
48984,5,94.81807134,0,0.022390966,,Colombian Exclusive Economic Zone (Serranilla),Colombia,0.000236147
48984,10,359.1224093,0,0.156526512,,Colombian Exclusive Economic Zone (Serranilla),Colombia,0.000435858
48984,15,689.8307088,0,0.272085563,,Colombian Exclusive Economic Zone (Serranilla),Colombia,0.000394424
48984,20,1004.014174,0,0.382898434,,Colombian Exclusive Economic Zone (Serranilla),Colombia,0.000381368
48984,25,1311.141274,0,0.472253264,,Colombian Exclusive Economic Zone (Serranilla),Colombia,0.000360185
8334,5,2602.997913,0,0.107163773,COM,Comoran Exclusive Economic Zone,Comores,4.12E-05
8334,10,5150.529487,0,0.158029272,COM,Comoran Exclusive Economic Zone,Comores,3.07E-05
8334,15,8111.266515,0,0.20204089,COM,Comoran Exclusive Economic Zone,Comores,2.49E-05
8334,20,11600.98979,0,0.252823508,COM,Comoran Exclusive Economic Zone,Comores,2.18E-05
8334,25,15018.50283,0,0.279853455,COM,Comoran Exclusive Economic Zone,Comores,1.86E-05
8394,5,1084.611009,0.066666667,2.318928729,COG,Congolese Exclusive Economic Zone,Republic of the Congo,0.002199494
8394,10,1885.442178,0.086666667,5.560283075,COG,Congolese Exclusive Economic Zone,Republic of the Congo,0.002995027
8394,15,2660.44592,0.19335563,8.769086352,COG,Congolese Exclusive Economic Zone,Republic of the Congo,0.003368774
8394,20,3424.367705,0.356880986,11.33691542,COG,Congolese Exclusive Economic Zone,Republic of the Congo,0.003414878
8394,25,4163.687608,0.514036616,13.68553434,COG,Congolese Exclusive Economic Zone,Republic of the Congo,0.003410335
8424,5,8189.266915,0.131339013,2.031821044,CRI,Costa Rican Exclusive Economic Zone,Costa Rica,0.000264146
8424,10,13428.00278,0.151295369,3.712338045,CRI,Costa Rican Exclusive Economic Zone,Costa Rica,0.00028773
8424,15,18396.17238,0.156696317,4.83166957,CRI,Costa Rican Exclusive Economic Zone,Costa Rica,0.000271163
8424,20,23368.62239,0.176677751,5.907318941,CRI,Costa Rican Exclusive Economic Zone,Costa Rica,0.000260349
8424,25,28415.84887,0.20682452,6.809581169,CRI,Costa Rican Exclusive Economic Zone,Costa Rica,0.000246919
5673,5,15764.44636,8.997158045,6.64779343,HRV,Croatian Exclusive Economic Zone,Croatia,0.00099242
5673,10,21415.57297,14.0278723,9.249465102,HRV,Croatian Exclusive Economic Zone,Croatia,0.001086935
5673,15,25956.60327,16.759941,10.46959133,HRV,Croatian Exclusive Economic Zone,Croatia,0.001049041
5673,20,30298.2917,19.1053247,11.4652515,HRV,Croatian Exclusive Economic Zone,Croatia,0.001008987
5673,25,34370.66886,21.91083431,12.33197939,HRV,Croatian Exclusive Economic Zone,Croatia,0.00099628
